# mu value:
3.162278
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.5, 0.161022, 0.164172, 0.980813
0.6, 0.163608, 0.167141, 0.978866
0.7, 0.16141, 0.163662, 0.986238
0.8, 0.14738, 0.145536, 1.01267
0.9, 0.109081, 0.0995773, 1.09544
0.0001, 0.74344, 0.87815, 0.846598
0.0002, 0.618239, 0.720802, 0.857709
0.0003, 0.55366, 0.640366, 0.864599
0.0004, 0.511422, 0.588082, 0.869644
0.0005, 0.48062, 0.55012, 0.873664
0.0006, 0.456687, 0.520723, 0.877025
0.0007, 0.43728, 0.496968, 0.879895
0.0008, 0.421081, 0.477185, 0.882426
0.0009, 0.407252, 0.460338, 0.884682
0.001, 0.395239, 0.445733, 0.886716
