# mu values:
1.295000, 1.490000, 1.510000, 4.000000, 10.000000, 20.000000
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.2, 0.129003, 0.129003, 1
0.3, 0.136822, 0.136822, 1
0.4, 0.141865, 0.141865, 1
0.5, 0.145433, 0.145433, 1
0.6, 0.146983, 0.146983, 1
0.7, 0.143034, 0.143034, 1
0.8, 0.126159, 0.126161, 0.999984
0.9, 0.0841072, 0.0841073, 1
0.0001, 0.365644, 0.365644, 1
0.0002, 0.313311, 0.313311, 1
0.0003, 0.285729, 0.285725, 1.00001
0.0004, 0.267451, 0.26745, 1
0.0005, 0.253997, 0.253997, 1
0.0006, 0.243469, 0.243467, 1.00001
0.0007, 0.234884, 0.234883, 1
0.0008, 0.227684, 0.227683, 1
0.0009, 0.221513, 0.221512, 1.00001
0.001, 0.216134, 0.216134, 1
0.002, 0.184102, 0.184102, 1
0.003, 0.168089, 0.168087, 1.00001
0.004, 0.157986, 0.157986, 1
0.005, 0.150903, 0.150903, 1
0.006, 0.145625, 0.145624, 1.00001
0.007, 0.141534, 0.141534, 1
0.008, 0.138277, 0.138276, 1.00001
0.009, 0.135641, 0.135642, 0.999992
0.01, 0.13346, 0.13346, 1
0.02, 0.124114, 0.124113, 1
0.03, 0.123336, 0.123337, 0.999994
0.04, 0.125327, 0.125326, 1
0.05, 0.128519, 0.128519, 1
0.06, 0.132289, 0.132285, 1.00003
0.07, 0.13633, 0.13633, 0.999999
0.08, 0.140498, 0.140498, 1
0.09, 0.144683, 0.144683, 1
0.1, 0.148841, 0.148841, 1
0.2, 0.185122, 0.185122, 1
0.3, 0.213232, 0.213231, 1
0.4, 0.240699, 0.240699, 0.999999
0.5, 0.273453, 0.273453, 1
0.6, 0.309932, 0.309932, 0.999999
0.7, 0.335896, 0.335896, 1
0.8, 0.320564, 0.320571, 0.999979
0.9, 0.21762, 0.21762, 1
0.0001, 0.369339, 0.369339, 1
0.0002, 0.312592, 0.312591, 1
0.0003, 0.282626, 0.282622, 1.00001
0.0004, 0.262707, 0.262707, 1
0.0005, 0.247994, 0.247994, 1
0.0006, 0.236436, 0.236434, 1.00001
0.0007, 0.226974, 0.226973, 1
0.0008, 0.219005, 0.219004, 1
0.0009, 0.212148, 0.212147, 1.00001
0.001, 0.206146, 0.206146, 1
0.002, 0.169658, 0.169658, 1
0.003, 0.150572, 0.15057, 1.00001
